data,product_id,nome,preco,preco_original,n_ofertas,item_id,seller_id,frete_gratis,full,permalink
2026-07-30,MLB61097395,Kit Vizzela Cherry Máscara Cílios Bordô + Lapiseira Retrátil,98.8,,2,MLB5848770432,275631691,True,True,https://www.mercadolivre.com.br/p/MLB61097395
2026-07-30,MLB27058775,Mascara Cilios Vizzela No Panda Define E Alonga - Preto,58.9,,2,MLB6937630722,574305034,True,False,https://www.mercadolivre.com.br/p/MLB27058775
2026-07-30,MLB10452505,Máscara Cílios Mary Kay Lash Intensity Volumizador Preto 9g,67.99,,21,MLB7266744702,61497981,True,False,https://www.mercadolivre.com.br/p/MLB10452505
2026-07-30,MLB22950786,Máscara Cílios Safira Incolor Modeladora Efeito Boneca 7ml,19.16,,4,MLB4807485733,254387981,True,False,https://www.mercadolivre.com.br/p/MLB22950786
2026-07-30,MLB24577156,Kit Rímel Tango 4D Preto Máscara Cílios Prova D'água 17g,15.0,,19,MLB4841719593,342252404,True,True,https://www.mercadolivre.com.br/p/MLB24577156
2026-07-30,MLB45224574,Máscara Cílios Alongadora Color Trend Super Looong Preto 7ml,22.0,,9,MLB6177778770,686684284,True,False,https://www.mercadolivre.com.br/p/MLB45224574
2026-07-30,MLB51971499,Máscara Cílios Febella Max Volume Marrom Efeito Natural,26.99,,2,MLB4889111091,3113666816,True,False,https://www.mercadolivre.com.br/p/MLB51971499
2026-07-30,MLB65978551,Máscara Cílios Kiko Milano Unmeasurable Length Prova D'água Preto,109.0,,2,MLB4912035355,432482474,True,False,https://www.mercadolivre.com.br/p/MLB65978551
2026-07-30,MLB44149361,pó compacto Ruby Rose Glass Pó Compacto,19.5,,4,MLB4684162405,98787425,True,False,https://www.mercadolivre.com.br/p/MLB44149361
2026-07-30,MLB24206229,Base de maquiagem em pó compacto Dailus Pó compacto ultrafino Pó compacto ultrafino tom d4 claro - 10g,33.9,,15,MLB4683746827,2061445221,True,False,https://www.mercadolivre.com.br/p/MLB24206229
2026-07-30,MLB24206226,Base de maquiagem em pó compacto Dailus Pó compacto ultrafino Pó compacto ultrafino tom d2 claro - 10g,29.99,69.99,13,MLB5019302650,1447366191,True,True,https://www.mercadolivre.com.br/p/MLB24206226
2026-07-30,MLB24206231,Base de maquiagem em pó compacto Dailus Pó compacto ultrafino Pó compacto ultrafino tom d6 medio - 10g,31.0,,15,MLB4695980405,1346585314,True,False,https://www.mercadolivre.com.br/p/MLB24206231
2026-07-30,MLB24230930,Base de maquiagem em pó compacto Ruby Rose Pó Compacto Melu 10g C10,25.9,,2,MLB7183538732,1277483492,True,False,https://www.mercadolivre.com.br/p/MLB24230930
2026-07-30,MLB37655366,Mostruário Expositor Esmalte Unha Stiletto Transparente 50un,20.11,22.99,2,MLB5820176788,1628085650,True,True,https://www.mercadolivre.com.br/p/MLB37655366
2026-07-30,MLB25741623,Palito Plana Silicone Belliz Company Remoção Excesso Esmalte Unha,22.05,,4,MLB5271089060,1486994175,True,False,https://www.mercadolivre.com.br/p/MLB25741623
2026-07-30,MLB39124617,200un Anel Expositor Mostruário Cor Esmalte Unha Artificial,42.74,,2,MLB5109952880,1941998592,True,True,https://www.mercadolivre.com.br/p/MLB39124617
2026-07-30,MLB28657005,"Esmalte Unha Safira Teen Bella Sereia 7,5ml Verde Nº 61",18.9,19.9,2,MLB4503337422,330504757,True,False,https://www.mercadolivre.com.br/p/MLB28657005
2026-07-30,MLB47852325,Mesinha Manicure Completa C/ Gaveta Esmalte Unha Em Gel Mdp Cor Branco,130.0,,2,MLB4936096421,3482197823,True,False,https://www.mercadolivre.com.br/p/MLB47852325
2026-07-30,MLB66731987,Esmalte Unha Em Gel Acrigel Fibra Blindagem Real Love Light Rosa-17,21.9,,2,MLB4536303053,318095873,True,True,https://www.mercadolivre.com.br/p/MLB66731987
2026-07-30,MLB36811176,Kit Maquiagem Completo Profissional Sarahs Beauty,56.46,,3,MLB4702794801,1137568979,True,False,https://www.mercadolivre.com.br/p/MLB36811176
2026-07-30,MLB37975806,Kit Maquiagem Tk-1693 Toy King,58.42,,2,MLB6620176212,91989468,True,False,https://www.mercadolivre.com.br/p/MLB37975806
2026-07-30,MLB39318055,Kit Maquiagem Terror Halloween Zumbi Carnaval Cosplay Slug Maquiagem,37.99,40.0,2,MLB4966162193,1710853654,True,False,https://www.mercadolivre.com.br/p/MLB39318055
2026-07-30,MLB36228253,Kit Maquiagem de Terror Slug Kit Mágico 2 Peças Hipoalergênico,33.33,35.09,3,MLB5967890326,760739443,True,False,https://www.mercadolivre.com.br/p/MLB36228253
2026-07-30,MLB53469027,Kit Maquiagem Portátil Díario Rosa Minnie Mousedisney Fenzza,58.9,,5,MLB6214678024,1111314041,True,False,https://www.mercadolivre.com.br/p/MLB53469027
2026-07-30,MLB36735934,Lápis Sobrancelha Gobrow Ultrafino Dark Brown Ruby Kisses,32.16,34.9,3,MLB4803214071,1082450985,True,True,https://www.mercadolivre.com.br/p/MLB36735934
2026-07-30,MLB57619995,Lápis Sobrancelha com Gel Fixador Melu By Ruby Rose,25.0,,4,MLB6634305412,674579220,True,False,https://www.mercadolivre.com.br/p/MLB57619995
2026-07-30,MLB26540612,Caneta Lápis Sobrancelha Microblading Fio a Fio Dailus Marrom-claro,17.46,28.46,2,MLB4098346985,493029273,True,False,https://www.mercadolivre.com.br/p/MLB26540612
2026-07-30,MLB26540613,Caneta Lápis Sobrancelha Líquido À Prova D'água Cor Marrom-escuro nº 2,17.46,28.46,2,MLB4098357279,493029273,True,False,https://www.mercadolivre.com.br/p/MLB26540613
2026-07-30,MLB22643760,Lapiseira Chanfrada Vizzela Lápis Sobrancelha Hello Brow Cor 02 À Prova D'Água,59.9,,2,MLB6844198866,662695323,True,True,https://www.mercadolivre.com.br/p/MLB22643760
